town,lat,lon,nearest_airport,distance_km,category
Middledrift,-32.8167,26.9833,King Phalo (East London),82.3,regional
Alice,-32.7833,26.8333,King Phalo (East London),96.8,regional
Fort Beaufort,-32.7833,26.6333,King Phalo (East London),114.8,regional
Eastern Cape,-32.765,26.685,King Phalo (East London),110.7,regional
Adelaide,-32.7,26.3,King Phalo (East London),147.3,regional
Bedford,-32.6833,26.0833,Chief Dawid Stuurman (Gqeberha),151.1,regional
Grahamstown,-33.3,26.5333,Chief Dawid Stuurman (Gqeberha),114.0,regional
Grahamstad,-33.3,26.5333,Chief Dawid Stuurman (Gqeberha),114.0,regional
Cookhouse,-32.75,25.8167,Chief Dawid Stuurman (Gqeberha),138.6,regional
Somerset East,-32.7167,25.5833,Chief Dawid Stuurman (Gqeberha),141.1,regional
Pearston,-32.5833,25.1333,Chief Dawid Stuurman (Gqeberha),162.2,regional
Steynsburg,-31.3,25.8167,Bram Fischer (Bloemfontein),249.8,regional
Hofmeyr,-31.65,25.8,King Phalo (East London),244.9,regional
Noupoort,-31.1874,24.9499,Kimberley,265.8,regional
Port Elizabeth,-33.9667,25.5833,Chief Dawid Stuurman (Gqeberha),3.7,major
Zwide,-33.8667,25.5667,Chief Dawid Stuurman (Gqeberha),13.9,major
Emerald Hill,-34.0,25.55,Chief Dawid Stuurman (Gqeberha),6.4,major
Estadeal,-33.9667,25.5833,Chief Dawid Stuurman (Gqeberha),3.7,major
Hunter'S Retreat,-33.9667,25.5833,Chief Dawid Stuurman (Gqeberha),3.7,major
Gelvandale,-33.9167,25.55,Chief Dawid Stuurman (Gqeberha),9.8,major
Uitenhage,-33.7653,25.4022,Chief Dawid Stuurman (Gqeberha),31.5,major
Linton Grange,-33.94,25.56,Chief Dawid Stuurman (Gqeberha),7.3,major
Bethelsdorp,-33.8833,25.5,Chief Dawid Stuurman (Gqeberha),15.6,major
Newton Park,-33.95,25.5667,Chief Dawid Stuurman (Gqeberha),6.1,major
Saltville,-33.9667,25.5833,Chief Dawid Stuurman (Gqeberha),3.7,major
Walmer,-33.9833,25.5833,Chief Dawid Stuurman (Gqeberha),3.1,major
Addo,-33.5667,25.6833,Chief Dawid Stuurman (Gqeberha),46.9,major
Kirkwood,-33.4156,25.4436,Chief Dawid Stuurman (Gqeberha),65.3,regional
Paterson,-33.45,25.9667,Chief Dawid Stuurman (Gqeberha),67.7,regional
Alicedale,-33.3167,26.0833,Chief Dawid Stuurman (Gqeberha),85.9,regional
Bathurst,-33.4833,26.8333,King Phalo (East London),104.9,regional
Port Alfred,-33.6,26.9,King Phalo (East London),106.5,regional
Southseas,-33.6,26.9,King Phalo (East London),106.5,regional
Colchester,-33.6,26.9,King Phalo (East London),106.5,regional
Alexandria,-24.9167,31.15,O.R. Tambo International,321.9,regional
Kenton On Sea,-33.7,26.6833,Chief Dawid Stuurman (Gqeberha),103.4,regional
New Brighton,-33.9,25.6,Chief Dawid Stuurman (Gqeberha),9.6,major
Kwazakhele,-33.8667,25.5833,Chief Dawid Stuurman (Gqeberha),13.5,major
Swartkops,-33.8667,25.6,Chief Dawid Stuurman (Gqeberha),13.2,major
Motherwell,-33.9667,25.5833,Chief Dawid Stuurman (Gqeberha),3.7,major
Despatch,-33.8,25.4667,Chief Dawid Stuurman (Gqeberha),24.8,major
Gambleville,-33.7839,25.3974,Chief Dawid Stuurman (Gqeberha),30.2,major
Kwanobuhle,-33.8025,25.3925,Chief Dawid Stuurman (Gqeberha),29.0,major
Steytlerville,-33.3328,24.3447,Chief Dawid Stuurman (Gqeberha),138.3,regional
Klipplaat,-33.0211,24.3369,Chief Dawid Stuurman (Gqeberha),159.9,regional
Jansenville,-32.9333,24.6667,Chief Dawid Stuurman (Gqeberha),146.5,regional
Aberdeen,-32.4833,24.0667,Chief Dawid Stuurman (Gqeberha),220.6,regional
Graaff-Reinet,-32.25,24.55,Chief Dawid Stuurman (Gqeberha),217.0,regional
Adendorp,-32.3,24.55,Chief Dawid Stuurman (Gqeberha),212.1,regional
Humansdorp,-34.0333,24.7667,Chief Dawid Stuurman (Gqeberha),78.6,regional
Jeffreys Bay,-33.9028,24.8675,Chief Dawid Stuurman (Gqeberha),69.8,regional
Jeffreysbaai,-34.05,24.9167,Chief Dawid Stuurman (Gqeberha),65.0,regional
Patensie,-33.7556,24.8183,Chief Dawid Stuurman (Gqeberha),78.0,regional
Hankey,-33.8333,24.8833,Chief Dawid Stuurman (Gqeberha),69.8,regional
Hackney,-32.3167,26.6333,King Phalo (East London),137.3,regional
Kareedouw,-30.7833,25.85,Bram Fischer (Bloemfontein),193.0,regional
Joubertina,-30.85,26.6833,Bram Fischer (Bloemfontein),198.8,regional
Willowmore,-33.2833,23.4833,George,130.0,regional
Uniondale,-33.65,23.1333,George,80.1,regional
Mossel Bay,-34.1833,22.1333,George,30.0,major
Mosselbaai,-34.1833,22.1333,George,30.0,major
Mosselbay,-34.1833,22.1333,George,30.0,major
Kwanonqaba,-34.1833,22.1333,George,30.0,major
Hartenbos,-34.1167,22.1167,George,27.1,major
Groot-Brakrivier,-34.0333,22.2167,George,15.3,major
Great Brak River,-34.0333,22.2167,George,15.3,major
George East,-33.8167,25.65,Chief Dawid Stuurman (Gqeberha),18.9,major
George,-33.9667,22.45,George,7.9,major
Pacaltsdorp,-34.0167,22.45,George,6.7,major
Knysna,-34.034,23.0343,George,60.5,regional
Sedgefield,-34.0167,22.8,George,38.8,major
Plettenbergbaai,-34.0455,23.3727,George,91.7,regional
Plettenberg Bay,-34.0455,23.3727,George,91.7,regional
Oudtshoorn,-33.5833,22.2,George,49.8,major
Oudshoorn,-33.5833,22.2,George,49.8,major
Ladismith,-33.4833,21.2667,George,118.1,regional
Western Cape,-33.55,21.8889,George,68.0,regional
Calitzdorp,-33.5333,21.6833,George,83.0,regional
Heidelberg Wc,-33.5333,21.6833,George,83.0,regional
Riversdale,-34.1,21.2667,George,103.0,regional
Still Bay,-34.3667,21.4,George,98.6,regional
Stilbaai,-34.3667,21.4167,George,97.2,regional
Albertinia,-34.2,21.5833,George,76.4,regional
Albertina,-34.2,21.5833,George,76.4,regional
Robertson,-33.8,19.8833,Cape Town International,120.2,regional
Ashton,-33.8167,20.05,Cape Town International,135.2,regional
Montagu,-33.7833,20.1167,Cape Town International,141.8,regional
Bonnievale,-33.9333,22.0333,George,32.9,major
Swellendam,-34.0333,20.4333,Cape Town International,169.4,regional
Porterville,-33.0167,18.9833,Cape Town International,111.9,regional
Tulbagh,-33.2833,19.15,Cape Town International,91.9,regional
Wolseley,-33.4167,19.2,Cape Town International,83.1,regional
Ceres,-33.3667,19.3167,Cape Town International,94.5,regional
Prince Alfred Hamlet,-33.3,19.3167,Cape Town International,99.9,regional
Worcester,-33.65,19.4333,Cape Town International,85.1,regional
Touwsrivier,-33.3333,20.0333,Cape Town International,150.6,regional
Touws River,-33.3333,20.0333,Cape Town International,150.6,regional
Laingsburg,-33.2,20.85,George,167.5,regional
Sutherland,-32.4,20.6667,George,239.3,regional
Prince Albert,-33.2167,22.0333,George,93.4,regional
Beaufort West,-32.35,22.5833,George,185.1,regional
Fraserburg,-31.9167,21.5167,George,245.8,regional
Beaufort Wes,-32.35,22.5833,George,185.1,regional
Beaufort-Wes,-32.35,22.5833,George,185.1,regional
De Aar,-30.65,24.0167,Kimberley,217.7,regional
Hanover,-31.0667,24.45,Kimberley,253.6,regional
Victoria West,-31.4,23.1167,George,297.8,regional
Northern Cape,-31.2889,23.5611,Kimberley,299.7,regional
Cape Town,-33.9167,18.4167,Cape Town International,17.7,major
Eerste River,-34.0,18.7333,Cape Town International,13.0,major
Kaapstad,-33.9778,18.6167,Cape Town International,2.0,major
Delft,-33.9778,18.6167,Cape Town International,2.0,major
Eerste Rivier,-33.9778,18.6167,Cape Town International,2.0,major
Eersterivier,-34.0167,18.7,Cape Town International,10.8,major
Somerset West,-34.0833,18.85,Cape Town International,26.5,major
Firgrove,-34.075,18.8083,Cape Town International,22.7,major
Macassar,-34.0667,18.7667,Cape Town International,19.0,major
Somerset-Wes,-34.075,18.8083,Cape Town International,22.7,major
Gordon'S Bay,-34.1667,18.8667,Cape Town International,33.1,major
Strand,-34.1167,18.8333,Cape Town International,27.2,major
Kleinmond,-34.35,19.0333,Cape Town International,58.3,regional
Grabouw,-34.15,19.0167,Cape Town International,43.5,major
Caledon,-34.2167,19.4167,Cape Town International,80.3,regional
Hermanus,-34.4166,19.2333,Cape Town International,76.8,regional
Onrus River,-34.4167,19.2333,Cape Town International,76.8,regional
Gans Bay,-34.5833,19.35,Cape Town International,97.1,regional
Riviersonderend,-34.15,19.9,Cape Town International,121.7,regional
